NOM_CAMPO,NOM_ESTADO,NUM_CONTRATO
PA-1OGX79RJS_BM-C-39_C-M-466_ITACOATIARA,(NÃO CADASTRADO),48610001367200854
PA-1OGX94DARJS_S-M-270_BM-S-58,(NÃO CADASTRADO),48610001375200809
PA-1OGX97MA_PN-T-67(BT-PN-7)_PN-T-85(BT-PN-10),(NÃO CADASTRADO),48610001417200801
PA-1ORT1MG-SF-T-132,(NÃO CADASTRADO),48610009207200519
PA-1PAL1ES-BCED,(estado não informado),480000035419702
PA-1PERN-4-ESS,(NÃO CADASTRADO),48610001263200840
PA-1PGN1MA_PN-T-48_BT-PN-4,Maranhão,48610001414200860
PA-1POTI1DRN-BTPOT10,Rio Grande do Norte,486100092272002
PA-1PSY15RN-BT-POT-3,(NÃO CADASTRADO),480000034769734
PA-1PSY3RN-POTT353,(NÃO CADASTRADO),486100094862003
PA-1PSY4RN-POTT352,Rio Grande do Norte,486100094872003
PA-1PSY6RN-POTT524,(NÃO CADASTRADO),486100080062004
PA-1PSY7RN-POTT528,(NÃO CADASTRADO),486100080062004
PA-1PTRA18MG-BT-SF-3A,(NÃO CADASTRADO),48610009213200568A
PA-1PTRA25MG-BT-SF-3A,(NÃO CADASTRADO),48610009213200568A
PA-1PTRA2MG-BT-SF-3_BT-SF-9,(NÃO CADASTRADO),48610009213200568
PA-1PTX1RN-POT-T-557,(NÃO CADASTRADO),486100080002004
PA-1PTX1RN-POT-T-559,(NÃO CADASTRADO),486100080002004
PA-1QG5ABAS-BM-J-2,(NÃO CADASTRADO),486100092162002
PA-1QTR10RN-POT-T-792,(NÃO CADASTRADO),48610009134200557
PA-1QTR1RN-POT-T-476,(NÃO CADASTRADO),486100079932004
PA-1QTR6RN-POT-T-704,(NÃO CADASTRADO),486100080092004
PA-1REPF3DSPS_S-M-673_674_BM-S-48,(NÃO CADASTRADO),48610009145200537
PA-1REPF4SPS_S-M-789_BM-S-48,(NÃO CADASTRADO),48610009145200537
PA-1RJS537RJS_BM-C-27,(NÃO CADASTRADO),""
PA-1RJS539-BS500,(estado não informado),480000035779741
PA-1SHEL23RJS_S-M-518_BM-S-54,(NÃO CADASTRADO),48610009184200534
PA-1SHEL23RJS_S-M-518_BM-S-54_EP,(NÃO CADASTRADO),48610009184200534
PA-1SHEL23RJS-S-M-518,(NÃO CADASTRADO),48610009184200534
PA-1SPS25B-BS1,(estado não informado),480000035709701
PA-1SS1RN-BPOT6,(estado não informado),480000034849762
PA-1STAR10RN-POT-T-748,Rio Grande do Norte,48610009128200516
PA-1STAR26BA_REC_T_166,(NÃO CADASTRADO),""
PA-1STAR2BA-REC-T-178,(NÃO CADASTRADO),486100080162004
PA-1STAR8RN-POT-T-794,Rio Grande do Norte,48610009128200516A
PA-1VITA2ES-ES-T-391,(NÃO CADASTRADO),48610001402200835
PA-2ANP1RJS_FRANCO,(NÃO CADASTRADO),48610012913201005
PA-3BRSA1011DSE-CARMÓPOLIS,(NÃO CADASTRADO),""
PA-3BRSA1030DSE-CARMÓPOLIS,(NÃO CADASTRADO),""
PA-3BRSA1032RJS-IARA_ENT,(NÃO CADASTRADO),48610012913201005
PA-3BRSA1093SE-SIRIRIZINHO,(NÃO CADASTRADO),""
PA-3BRSA1130RN-UPANEMA,(NÃO CADASTRADO),480000038339718
PA-3BRSA1153RN-ESTREITO,(NÃO CADASTRADO),""
PA-3BRSA1193RN-CANTO DO AMARO,(NÃO CADASTRADO),480000037929724
PA-3BRSA1199RN-CANTO DO AMARO,(NÃO CADASTRADO),""
PA-3BRSA1200RN-ESTREITO,(NÃO CADASTRADO),480000037939797
PA-3BRSA1267RJS,(NÃO CADASTRADO),48610011150201310
PA-3BRSA304RJS-ESPADARTE,(estado não informado),480000038999718
PA-3BRSA341RJS-TAMBAÚ,(NÃO CADASTRADO),""
PA-3BRSA523ES-ET-T-381-ES-T-390,Espírito Santo,486100079842004
PA-3BRSA794SE-SIRIRIZINHO,(NÃO CADASTRADO),""
PA-3BRSA799SE-PIRANEMA,(NÃO CADASTRADO),486100080222004
PA-3BRSA881DES-LAGOA BONITA,(NÃO CADASTRADO),480000037489732
PA-3BRSA897SE-3BRSA900SE-CARMÓPOLIS,(NÃO CADASTRADO),480000038479714
PA-3BRSA912SE-CARMÓPOLIS,(NÃO CADASTRADO),""
PA-3BRSA956RN_3BRSA1074RN_POT-T-744,Rio Grande do Norte,48610010807201593
PA-3BRSA972DSE-SIRIRIZINHO SUL,(NÃO CADASTRADO),""
PA-3BRSA998SE-CARMOPOLIS NOROESTE,(NÃO CADASTRADO),""
PA-3SHEL24ESS_BC-10_NAUTILUS,(NÃO CADASTRADO),480000035529711
PA-4BRSA1111RN,(NÃO CADASTRADO),480000039149718
PA-4BRSA1226RJS-IARA_ENT,(NÃO CADASTRADO),48610012913201005
PA-4BRSA158ESS-BC60,(estado não informado),480000035609749
PA-4BRSA198RJS-MARLIM LESTE,(estado não informado),480000039009703
PA-4BRSA202RJS-MARLIM LESTE,(estado não informado),480000039009703
PA-4BRSA209RJS-VL,(estado não informado),480000035599760
PA-4BRSA227RJS-BC50,(estado não informado),480000035599760
PA-4BRSA290DRJS-ALBACORA,(estado não informado),480000037039702
PA-4BRSA301DPRJS-BAGRE,(estado não informado),480000037269708
PA-4BRSA416-ES-T-373,(NÃO CADASTRADO),486100079842004
PA-4BRSA420ESS-BC60,(NÃO CADASTRADO),480000035609749
PA-4-BRSA-466-ESS-Caxaréu,(NÃO CADASTRADO),480000035609749
PA-4BRSA534_3BRSA538D_ES-T-409_418,(NÃO CADASTRADO),48610009188200512
PA-4BRSA592D-ES-T-383,(NÃO CADASTRADO),48610009188200512
PA-4BRSA601ES-BIGUA,(NÃO CADASTRADO),486100079842004
PA-4BRSA609ES-BIGUA,(NÃO CADASTRADO),486100079842004
PA-4BRSA613ES-ES-T-383,(NÃO CADASTRADO),48610009188200512
PA-4BRSA623ES-BIGUA,(NÃO CADASTRADO),486100079842004
PA-4BRSA66ESS-BFRD,(estado não informado),480000035399752
PA-4BRSA792DBA-FAZENDA_PANELAS,(NÃO CADASTRADO),480000036539728
PA-6BRSA318-MARLIM LESTE,(estado não informado),480000039009703
PA-6BRSA318RJS-MARLIM LESTE,(estado não informado),480000039009703
PA-6BRSA497ESS-CACHALOTE,(NÃO CADASTRADO),480000035609749
PA-6BRSA517RJS-MARLIM SUL,(NÃO CADASTRADO),480000037249774
PA-6BRSA647DRJS-MarlinSul,(NÃO CADASTRADO),480000037249774
PA-6-BRSA-817-RJS-Marlim Leste,(NÃO CADASTRADO),""
PA-6BRSA-899D-RJS-ALBACORA,(NÃO CADASTRADO),""
PA-6REPF6PRJS_1REPF11ARJS_1REPF12DRJS_BM-C-33_C-M-539,(NÃO CADASTRADO),48610009157200561
PA-7ET858RN-ESTREITO-FM. ALAGAMAR,(estado não informado),480000037939797
PA-AURI4-AURI5-AURI6-RNPOT-T-432,(estado não informado),486100095092003
PA-COMPL-1GALP42RN_POT-T-743,(NÃO CADASTRADO),48610010806201549
"Pad 1-GTE-1-BA, 1-GTE-5HP-BA, 1-GTE-6HP-BA, 1-GTE-8DP-BA",(NÃO CADASTRADO),48610001427200839A
PAD-6BRSA770D-RJS_MARLIM_VOADOR,(NÃO CADASTRADO),480000039009703
PA-ENTORNO-DE-SAPINHOÁ,(NÃO CADASTRADO),48610012961201761
PAJEÚ,Rio Grande do Norte,480000038139701
PA-LIXO 4BRSA207RJS-CRP,(estado não informado),480000037119722
PAMPO,Rio de Janeiro,480000037079755
PA-PAD_CONJUNTO_GATO_DO_MATO_S-M-518_S_GATO_MAT,(NÃO CADASTRADO),48610012965201740
PAPA-TERRA,Rio de Janeiro,480000035569771
PARAMIRIM DO VENCIMENTO,Bahia,48610002006201635
PARAMIRIM DO VENCIMENTO (Licitado),Bahia,480000038889700
PARAMIRIM DO VENCIMENTO_,Bahia,48610002006201635
PARATI,Rio de Janeiro,480000037319730
PARDAL,Rio Grande do Norte,486100092272002A
PARGO,Rio de Janeiro,480000037129795
PARIRI,Bahia,48610001557200952
PARU,Alagoas,480000038409775
PATATIVA,Rio Grande do Norte,486100092262002
PATURI,Rio Grande do Norte,48610001503200997
PEDRA D'AGUA,(NÃO CADASTRADO),""
PEDRA SENTADA,Rio Grande do Norte,4861000400198
PEDRINHAS,Bahia,480000036789759
PEO-1BRSA1146RJS_Iara_Entorno_CCO,Rio de Janeiro,48610012913201005
PEREGRINO,Rio de Janeiro,486100038872000
PERIQUITO,Rio Grande do Norte,486100080052004
Periquito Nordeste,Rio Grande do Norte,48610010807201593
PERIQUITO NORTE,Rio Grande do Norte,48610010806201549
PEROÁ,Espírito Santo,480000039039793
PESCADA,Rio Grande do Norte,480000039129784
Piaçabuçu,(NÃO CADASTRADO),48610222012201950
Piaçabuçu,Alagoas,""
PILAR,Alagoas,480000038599701
PINAÚNA,Bahia,486100038902000
PINTASSILGO,Rio Grande do Norte,486100039012000A
PIRACABA,São Paulo,486100094942003
PIRACUCÁ,São Paulo,486100038822000
PIRAMBU,Espírito Santo,480000035609749
PIRANEMA,Sergipe,480000034959789
PIRANEMA SUL,Sergipe,486100080222004
PIRAPITANGA,Rio de Janeiro,480000035779741
PIRAÚNA,Rio de Janeiro,480000037339765
PITANGA,Bahia,""
PITANGOLA,Rio de Janeiro,48610001365200865
PITIGUARI,Rio Grande do Norte,486100107392001
POÇO VERDE,Rio Grande do Norte,480000038149765
POÇO XAVIER,Rio Grande do Norte,480000038159728
POJUCA,Bahia,480000036799711
POJUCA NORTE,Bahia,480000036809709
POJUCA NORTE,Bahia,48610222010201961
POLVO,Rio de Janeiro,486100038882000
PONTA DO MEL,Rio Grande do Norte,480000038169791
PONTA DOS MANGUES (Licitado),Sergipe,""
PONTAL DA BARRA,Alagoas,480000034999730
PORTO CARÃO,Rio Grande do Norte,480000038179753
POVOAÇÃO,Espírito Santo,""
PRJ-EO,Maranhão,48610007483200615
PRJ-FSP,Bahia,48610009287200511
PRJ-OC,Maranhão,48610007487200611
PRJ-PM,(NÃO CADASTRADO),48610007488200648
QUERERÁ,Bahia,480000038949702
QUIAMBINA,Bahia,""
QUIXABA,(NÃO CADASTRADO),""
QUIXABEIRINHA,Rio Grande do Norte,""
RABO BRANCO,Sergipe,48610009198200558
REDONDA,Rio Grande do Norte,480000038189716
REDONDA PROFUNDO,Rio Grande do Norte,480000038199789
REMANSO,Bahia,480000036719718
RÊMORA,Rio de Janeiro,48610001368200807
RIACHO AGUA BOA,(NÃO CADASTRADO),""
RIACHO ALAZÃO,Rio Grande do Norte,480000038209768
RIACHO DA BARRA,Bahia,480000036829726
RIACHO DA FORQUILHA,Rio Grande do Norte,480000038219721
RIACHO OURICURI,Bahia,480000036839799
RIACHO QUIRICÓ (Licitado),Bahia,""
RIACHO SÃO PEDRO,Bahia,480000036849751
RIACHO SESMARIA,Bahia,""
RIACHO SESMARIA,Bahia,48610001998201683
RIACHO TAPUIO (Licitado),Rio Grande do Norte,""
RIACHO VELHO,Rio Grande do Norte,48610007480200681
RIACHO VELHO (Licitado),Rio Grande do Norte,""
RIACHUELO,Sergipe,480000038609782
RIO BARRA SECA,Espírito Santo,480000037659751
RIO DA SERRA,Bahia,480000036859714
RIO DO BU,Bahia,480000036869787
RIO DO CARMO,Rio Grande do Norte,48610007479200657
RIO DO CARMO (Licitado),Rio Grande do Norte,""
RIO DOCE,Espírito Santo,480000037649799
RIO DOS OVOS,Bahia,480000036879740
RIO IBIRIBAS,Espírito Santo,480000037499703
RIO IPIRANGA,Espírito Santo,48610007482200671
RIO ITARIRI,Bahia,480000036889711
RIO ITAÚNAS,Espírito Santo,480000037669714
RIO ITAÚNAS LESTE,Espírito Santo,480000037679787
Rio Joanes,(NÃO CADASTRADO),48610222011201913
Rio Joanes,Bahia,480000038909743
Rio Mariricu,Espírito Santo,480000037689740
Rio Mariricu,Espírito Santo,48610007065201781
RIO MARIRICU SUL,Espírito Santo,48610009188200512
RIO MOSSORÓ,Rio Grande do Norte,480000038249719
RIO PERUÍPE,Bahia,""
RIO PIPIRI,Bahia,480000036749706
RIO POJUCA,Bahia,480000036899775
RIO PRETO,Espírito Santo,480000037699711
RIO PRETO OESTE,Espírito Santo,480000037709791
RIO PRETO SUDESTE,Espírito Santo,48610009188200512
RIO PRETO SUL,Espírito Santo,480000037719754
RIO SAO FRANCISCO,(NÃO CADASTRADO),""
RIO SÃO MATEUS,Espírito Santo,480000037729717
RIO SÃO MATEUS OESTE,Espírito Santo,486100079842004
RIO SAUÍPE,Bahia,480000036909754
RIO SUBAÚMA,Bahia,480000036919717
RIO UNA,Bahia,""
RIO URUCU,Amazonas,480000036289781
ROBALO,Sergipe,480000034909765
ROLINHA,Rio Grande do Norte,486100092272002
RONCADOR,Rio de Janeiro,480000039019768
SABIÁ,Rio Grande do Norte,480000039169735
SABIÁ BICO-DE-OSSO,Rio Grande do Norte,48610009128200516
SABIÁ DA MATA,Rio Grande do Norte,48610009128200516
SAIRA,Espírito Santo,486100107352001
Saíra,(NÃO CADASTRADO),48610222002201914
SALEMA,Rio de Janeiro,480000037109760
SALEMA BRANCA,Rio Grande do Norte,480000034819774
SALGO,Sergipe,480000038419738
SALINA CRISTAL,Rio Grande do Norte,480000038259781
SANHAÇU,Rio Grande do Norte,486100079982004
SANTANA,Bahia,480000036929780
SÃO DOMINGOS,Bahia,480000036939742
SÃO JOÃO,Maranhão,""
SÃO JOÃO,Maranhão,48610002005201691
SÃO JOÃO LIXO 1,Maranhão,48610002005201691
SÃO MANOEL,Rio Grande do Norte,48610007485200612
SÃO MANOEL (Licitado),Rio Grande do Norte,480000038269744
SÃO MATEUS,Espírito Santo,480000037739780
SÃO MATEUS LESTE,Espírito Santo,48610009188200512
SÃO MIGUEL,Rio Grande do Norte,480000038279715
SÃO MIGUEL DOS CAMPOS,Alagoas,480000038619745
SÃO PEDRO,Bahia,480000036949713
SAPINHOÁ,São Paulo,486100038842000
SARDINHA,Bahia,480000038759750
SAUÍPE,Bahia,480000036959778
SEBASTIÃO FERREIRA,Alagoas,480000039229738
SEMPRE VIVA,Bahia,48610009288200549
SEMPRE VIVA (Licitado),Bahia,""
SÉPIA,Rio de Janeiro,48610012913201005
SÉPIA LESTE,Rio de Janeiro,486100107332001
SERIEMA,Espírito Santo,486100079842004
SERRA,Rio Grande do Norte,480000037819716
SERRA DO MEL,Rio Grande do Norte,480000038289770
SERRA VERMELHA,Rio Grande do Norte,480000038299732
SERRARIA,Rio Grande do Norte,480000038309711
SESMARIA,Bahia,480000036969731
SETE GALHOS (Licitado),Bahia,""
SIBITE,Rio Grande do Norte,486100092252002
SIRI,Rio Grande do Norte,480000034799722
SIRIRIZINHO,Sergipe,480000038629716
SIRIRIZINHO OESTE,Sergipe,48610009197200511
SIRIRIZINHO SUL,Sergipe,48610009197200511
SOCORRO,Bahia,480000036979701
SOCORRO EXTENSÃO,Bahia,480000036989766
SOCORRO EXTENSÃO NORTE,Bahia,48610009121200588
SOLEDADE (Licitado),Rio Grande do Norte,""
SUBAÚMA MIRIM,Bahia,""
SUDOESTE DE SAPINHOÁ,São Paulo,48610012961201761
SUDOESTE JURUÁ,Amazonas,480000038729761
SUDOESTE URUCU,Amazonas,480000038739724
SUINDARA,Espírito Santo,48610012628201752
SUL DE BERBIGÃO,Rio de Janeiro,48610012913201005
SUL DE CORURIPE,Alagoas,480000038639771
SUL DE FAZENDA ALEGRE,(NÃO CADASTRADO),""
SUL DE SAPINHOÁ,São Paulo,48610012913201005
SUL DE SURURU,Rio de Janeiro,48610012913201005
SUL DE TUPI,Rio de Janeiro,48610012913201005
SURURU,Rio de Janeiro,486100038862000A
SUSSUARANA,Bahia,480000036999729
TABUIAIÁ,Espírito Santo,486100079862004
TABULEIRO DOS MARTINS,Alagoas,480000038649733
TAINHA,Sergipe,""
TAMBAÚ,Rio de Janeiro,480000035779741
TAMBUATÁ,Rio de Janeiro,480000035779741
TANGARÁ,Bahia,486100094882003
TAPIRANGA,Bahia,48610001430200852
TAPIRANGA NORTE,Bahia,48610001429200828
TAQUIPE,Bahia,480000037009714
TARTARUGA,Sergipe,480000038359735
TARTARUGA MESTIÇA,Rio de Janeiro,48610009156200517
TARTARUGA VERDE,Rio de Janeiro,48610009156200517
TARTARUGA VERDE SUDOESTE,Rio de Janeiro,48610011230201880
TATUI,Sergipe,480000038349772
TICO-TICO,Bahia,486100080132004
TIÊ,Bahia,48610001427200839A
TIGRE,Sergipe,48610009279200558
TIGRE (Licitado),Sergipe,480000034909765
Tiziu,(NÃO CADASTRADO),48610222005201958
Tiziu,Rio Grande do Norte,486100092252002A
TLD-1BRSA456RN-POT-T-700,Rio Grande do Norte,486100080012004
TLD-1BRSA502BA-BT-REC-7,Bahia,486100092282002
TLD-1BRSA543RN-POT-T-701,(NÃO CADASTRADO),486100080052004A
TLD-1QG4BA-BT-REC-8,Bahia,486100092292002
TRAPIÁ,Rio Grande do Norte,""
TRÊS MARIAS,Rio Grande do Norte,480000038329747
TRILHA,Rio de Janeiro,480000037089718
TRINCA FERRO,Rio Grande do Norte,486100080012004
TROVOADA,Bahia,48610001293200856
TUBARÃO,Santa Catarina,480000039269799
TUBARÃO AREIA,Rio de Janeiro,48610001369200843
TUBARÃO AZUL,Rio de Janeiro,48610001369200843
TUBARÃO GATO,Rio de Janeiro,48610001369200843
TUBARÃO MARTELO,Rio de Janeiro,48610001367200854
TUBARÃO TIGRE,Rio de Janeiro,48610001369200843
TUCANO,Espírito Santo,48610001402200835
TUPI,Rio de Janeiro,486100038862000
UBARANA,Rio Grande do Norte,480000037829771
UIRAPURU,Bahia,486100038992000
UIRAPURU SUDOESTE,Bahia,48610001293200856
UPANEMA,Rio Grande do Norte,480000038339718
URUGUÁ,Rio de Janeiro,480000035779741
URUTAU,Rio Grande do Norte,48610007066201725
URUTAU (Licitado),Rio Grande do Norte,48610009151200594
VALE DO QUIRICO,Bahia,480000037019779
VALE DO QUIRICÓ,Bahia,48610007063201791
VARGINHA,Rio Grande do Norte,4861000400298
VÁRZEA REDONDA,Rio Grande do Norte,480000037909707
VAZA BARRIS,(NÃO CADASTRADO),""
VERMELHO,Rio de Janeiro,480000037139758
VIOLA,Rio de Janeiro,480000037349728
VOADOR,Rio de Janeiro,480000037049767
XARÉU,Ceará,480000037789701
XERELETE,Rio de Janeiro,480000035449792
XERELETE SUL,Rio de Janeiro,486100107272001
