COD_CAMPO;NOM_CAMPO
10;ANGICO
19;ASA BRANCA
31;BEIJA-FLOR
35;BIQUARA
37;BIJUPIRÁ
48;CAÇÃO
59;CARDEAL-BA
65;CACHALOTE
66;CIOBA
83;COQUEIRO SECO
84;CIDADE DE SEBASTIÃO FERREIRA
87;CAVALO-MARINHO
90;DENTÃO
112;FAZENDA GUINDASTE
120;FAZENDA PAU BRASIL
122;FRADE
123;FAZENDA RIO BRANCO
125;FAZENDA SANTO ESTEVÃO
128;FAZENDA SÃO RAFAEL
133;GUAJÁ
138;GURIRI
139;GUAIUBA
148;JEQUIÁ
149;JAPIIM
152;JUBARTE
155;LAGOA BONITA
161;LAGOA PARDA
162;LAGOA DO PAULO
164;LAGOA PACAS
165;LAGOA PARDA NORTE
181;MATO GROSSO
190;MANATI
194;Mosquito
205;NORTE DE PESCADA
206;OESTE DE UBARANA
208;PARU
236;RIO ITAÚNAS
247;RIO PRETO
259;TATUI
261;SANTANA
262;SALEMA
264;SARDINHA
265;SOCORRO
266;SUL DE CORURIPE
268;SOCORRO EXTENSÃO
270;SAUÍPE
273;SEBASTIÃO FERREIRA
277;SIRI
278;SÃO MATEUS
289;TARTARUGA
292;TABULEIRO DOS MARTINS
304;BALEIA FRANCA
322;LAGOSTA
379;PIRANEMA
381;MEXILHÃO
383;GOLFINHO
403;SALEMA BRANCA
423;JANDAIA
443;UIRAPURU
463;BALEIA AZUL
464;BALEIA ANÃ
483;LAGOA DO PAULO NORTE
523;ANAMBÉ
563;ACAUÃ
583;POLVO
657;OSTRA
662;ARARACANGA
665;CATUÁ
666;CANÁRIO
669;CANAPU
673;LAGOA DO PAULO SUL
678;ATLANTA
679;NAUTILUS
681;XERELETE
682;TAMBUATÁ
686;ARGONAUTA
691;TAMBAÚ
693;MANGANGÁ
695;PEREGRINO
702;JOÃO DE BARRO
705;PAPA-TERRA
708;CARAPÓ
724;ARRIBAÇÃ
743;JACUTINGA
783;ACAJÁ-BURIZINHO
803;TANGARÁ
823;ABALONE
843;URUGUÁ
844;PIRAPITANGA
864;PINAÚNA
875;INHAMBU
876;SAIRA
878;PITIGUARI
883;PIRACUCÁ
923;COLIBRI
983;JURITI
1003;SERIEMA
1023;TABUIAIÁ
1043;CANCÃ
1063;TUPI
1103;IRERÊ
1123;JAÇANÃ
1144;PERIQUITO
1163;CARATAÍ
1164;CAXAREU
1165;PIRAMBU
1184;CAMARUPIM
1185;OLIVA
1224;FOZ DO VAZA-BARRIS
1263;ARAÇÁS LESTE
1283;GUANAMBI
1303;ROLINHA
1383;TIGRE
1403;MORRO DO BARRO
1404;CIDADE DE ARACAJU
1505;ARAÇARI
1525;JAPUAÇU
1565;MUTUM
1605;BOM LUGAR
1725;CARDEAL
1726;ANDORINHA
1727;JACUPEMBA
1745;CHOPIM
1765;BIGUÁ
1805;ALBATROZ
1825;GUAIAMÁ
1865;TRINCA FERRO
1907;RIO SÃO MATEUS OESTE
1945;MARITACA
1965;URUTAU (Licitado)
1985;SEMPRE VIVA
2005;CREJOÁ
2006;RIACHO VELHO
2085;SANHAÇU
2145;MATO GROSSO NORTE
2285;JIRIBATUBA
2325;CARAPITANGA
2365;SAPINHOÁ
2405;HARPIA
2425;RIO IPIRANGA
2505;CARCARÁ
2565;CHAUÁ
2585;CAMARUPIM NORTE
2605;CÓRREGO CEDRO NORTE SUL
2625;BAÚNA
2665;ARACUÃ
2725;MOSQUITO NORTE
2745;CORRUIRA
2765;RIO PRETO SUDESTE
2766;JACUTINGA NORTE
2785;RABO BRANCO
2885;SÃO MATEUS LESTE
2905;MATO GROSSO SUL
2985;SÃO MANOEL
3005;GARÇA BRANCA (Licitado)
3045;GUAMARÉ SUDESTE
3145;GAIVOTA
3225;SIRIRIZINHO SUL
3245;Bem-te-vi
3265;MATO GROSSO NOROESTE
3285;MATO GROSSO SUDOESTE
3325;TUCANO
3445;GUARÁ
3465;SABIÁ DA MATA
3565;SIBITE
3605;CONCRIZ
3645;TARTARUGA VERDE
3665;Tiziu
3705;SABIÁ BICO-DE-OSSO
3825;BARRINHA SUDOESTE
3827;SIRIRIZINHO OESTE
3828;CARMÓPOLIS NOROESTE
3829;CARMÓPOLIS SUDOESTE
3866;TIÊ
3885;PATATIVA
3945;TROVOADA
3965;UIRAPURU SUDOESTE
4025;ARARA AZUL
4045;TUBARÃO AZUL
4065;TAPIRANGA
4085;GALO DE CAMPINA
4125;RIO DO CARMO
4145;RIO MARIRICU SUL
4245;TAPIRANGA NORTE
4325;BAUNA SUL
4505;TUBARÃO TIGRE
4525;PIRANEMA SUL
4528;GAVIÃO AZUL
4529;GAVIÃO REAL
4531;GRAÚNA
4532;CABOCLINHO
4534;TUBARÃO MARTELO
4540;PIRACABA
4546;ARAPAÇU
4548;TUBARÃO AREIA
4552;MAÇARICO
4556;PARIRI
4558;GAVIÃO BRANCO
4563;TARTARUGA MESTIÇA
4564;GAVIÃO BRANCO OESTE
4568;TUBARÃO GATO
4579;PITANGOLA
4580;RÊMORA
4593;PATURI
4598;BÚZIOS
4608;GAVIÃO CABOCLO
4611;SUL DE TUPI
4612;PEO-1BRSA1146RJS_Iara_Entorno_CCO
4614;SÉPIA
4615;ITAPU
4616;SUL DE SAPINHOÁ
4617;GAVIÃO BRANCO NORTE
4625;GAVIÃO BRANCO SUDESTE
4627;GAVIÃO PRETO
4629;GAVIÃO CARIJÓ
4630;Gavião Tesoura
4652;ATAPU
4654;NORTE DE BERBIGÃO
4656;SUL DE BERBIGÃO
4658;NORTE DE SURURU
4660;SUL DE SURURU
4662;Jandaia Sul
4664;CARDEAL AMARELO
4665;CARDEAL DO NORDESTE
4666;GAVIÃO VERMELHO
4672;GURIATÃ
4693;LAGOA DO DOUTOR
4698;Cancã Leste
4699;Canário da Terra
4700;CABURÉ
4702;Mãe-da-lua
4706;Caburé Leste
4713;IRAÚNA
4716;Canário da Terra Sul
4717;GURIATÃ SUL
4720;PERIQUITO NORTE
4726;GOIÁ SUL
4727;GOIÁ
4728;NEON
4729;NEON SUL
4735;BACALHAU
4742;Periquito Nordeste
